Country,trending_date,views
Japan,18.11.02,12844
Japan,18.11.02,1658764
Japan,18.11.02,25544
Japan,18.11.02,5821
Japan,18.11.02,1081448
Japan,18.11.02,5117
Japan,18.11.02,85147
Japan,18.11.02,12125
Japan,18.11.02,49916
Japan,18.11.02,10884
Japan,18.11.02,248263
Japan,18.11.02,525796
Japan,18.11.02,17789
Japan,18.11.02,89179
Japan,18.11.02,561734
Japan,18.11.02,9019
Japan,18.11.02,91938
Japan,18.11.02,285706
Japan,18.11.02,12824
Japan,18.11.02,138100
Japan,18.11.02,12670
Japan,18.11.02,29768
Japan,18.11.02,1322914
Japan,18.11.02,107544
Japan,18.11.02,296617
Japan,18.11.02,655027
Japan,18.11.02,5043
Japan,18.11.02,196031
Japan,18.11.02,48836
Japan,18.11.02,4060
Japan,18.11.02,12264
Japan,18.11.02,129246
Japan,18.11.02,77345
Japan,18.11.02,7145
Japan,18.11.02,7202
Japan,18.11.02,94814
Japan,18.11.02,194888
Japan,18.11.02,16498
Japan,18.11.02,228283
Japan,18.11.02,36285
Japan,18.11.02,88661
Japan,18.11.02,37961
Japan,18.11.02,259180
Japan,18.11.02,146374
Japan,18.11.02,12806
Japan,18.11.02,121426
Japan,18.11.02,11301
Japan,18.11.02,31027
Japan,18.11.02,1599386
Japan,18.11.02,35521
Japan,18.11.02,16304
Japan,18.11.02,42246
Japan,18.11.02,9560
Japan,18.11.02,12694
Japan,18.11.02,97921
Japan,18.11.02,72061
Japan,18.11.02,20094
Japan,18.11.02,155728
Japan,18.11.02,27271
Japan,18.11.02,12163
Japan,18.11.02,12549
Japan,18.11.02,47921
Japan,18.11.02,25394
Japan,18.11.02,1100175
Japan,18.11.02,1281740
Japan,18.11.02,31004
Japan,18.11.02,33903
Japan,18.11.02,94545
Japan,18.11.02,231509
Japan,18.11.02,101556
Japan,18.11.02,930483
Japan,18.11.02,10858
Japan,18.11.02,27575
Japan,18.11.02,9387
Japan,18.11.02,54007
Japan,18.11.02,1065917
Japan,18.11.02,245869
Japan,18.11.02,20640
Japan,18.11.02,92128
Japan,18.11.02,68297
Japan,18.11.02,52312
Japan,18.11.02,51958
Japan,18.11.02,8610
Japan,18.11.02,12550
Japan,18.11.02,30610
Japan,18.11.02,6245
Japan,18.11.02,6979
Japan,18.11.02,30573
Japan,18.11.02,7930
Japan,18.11.02,16985
Japan,18.11.02,6736
Japan,18.11.02,391626
Japan,18.11.02,5811
Japan,18.11.02,975975
Japan,18.11.02,159576
Japan,18.11.02,75187
Japan,18.11.02,96277
Japan,18.11.02,277005
Japan,18.11.02,41055
Japan,18.11.02,56493
Japan,18.11.02,63863
Japan,18.11.02,252330
Japan,18.11.02,176148
